"year","cap"
2020,95.978
2021,95.594088
2022,95.210176
2023,94.826264
2024,94.442352
2025,94.05844
2026,90.21932
2027,89.31286110967
2028,88.40640221934
2029,87.49994332901
2030,86.59348443868
2031,85.68702556132
2032,84.78056667099
2033,83.87410778066
2034,82.96764889033
2035,82.06119
2036,78.893916
2037,75.726642
2038,72.559368
2039,69.392094
2040,66.22482
2041,60.274184
2042,54.323548
2043,48.372912
2044,42.422276
2045,36.47164
2046,33.016432
2047,29.561224
2048,26.106016
2049,22.650808
2050,19.1956
