"","ship_type","fuel_type","year","consumption"
"1","C","Oil",2020,1776.66666666667
"2","C","LNG",2020,0
"3","C","LPG",2020,0
"4","C","MeOH",2020,0
"5","C","NH3",2020,0
"6","C","RefPO",2020,1692.06349206349
"7","C","H2",2020,0
"8","T","Oil",2020,2184.94623655914
"9","T","LNG",2020,0
"10","T","LPG",2020,0
"11","T","MeOH",2020,0
"12","T","NH3",2020,0
"13","T","RefPO",2020,1950.84485407066
"14","T","H2",2020,0
"15","B","Oil",2020,2458.28571428571
"16","B","LNG",2020,0
"17","B","LPG",2020,0
"18","B","MeOH",2020,0
"19","B","NH3",2020,0
"20","B","RefPO",2020,2211.15646258503
"21","B","H2",2020,0
"22","G","Oil",2020,2048.27586206897
"23","G","LNG",2020,0
"24","G","LPG",2020,0
"25","G","MeOH",2020,0
"26","G","NH3",2020,0
"27","G","RefPO",2020,1820.68965517241
"28","G","H2",2020,0
"29","O","Oil",2020,1096.2962962963
"30","O","LNG",2020,0
"31","O","LPG",2020,0
"32","O","MeOH",2020,0
"33","O","NH3",2020,0
"34","O","RefPO",2020,1305.11463844797
"35","O","H2",2020,0
"36","C","Oil",2021,1758.9
"37","C","LNG",2021,0
"38","C","LPG",2021,0
"39","C","MeOH",2021,0
"40","C","NH3",2021,0
"41","C","RefPO",2021,1675.14285714286
"42","C","H2",2021,0
"43","T","Oil",2021,2163.09677419355
"44","T","LNG",2021,0
"45","T","LPG",2021,0
"46","T","MeOH",2021,0
"47","T","NH3",2021,0
"48","T","RefPO",2021,1931.33640552995
"49","T","H2",2021,0
"50","B","Oil",2021,2433.70285714286
"51","B","LNG",2021,0
"52","B","LPG",2021,0
"53","B","MeOH",2021,0
"54","B","NH3",2021,0
"55","B","RefPO",2021,2189.04489795918
"56","B","H2",2021,0
"57","G","Oil",2021,2027.79310344828
"58","G","LNG",2021,0
"59","G","LPG",2021,0
"60","G","MeOH",2021,0
"61","G","NH3",2021,0
"62","G","RefPO",2021,1802.48275862069
"63","G","H2",2021,0
"64","O","Oil",2021,1085.33333333333
"65","O","LNG",2021,0
"66","O","LPG",2021,0
"67","O","MeOH",2021,0
"68","O","NH3",2021,0
"69","O","RefPO",2021,1292.06349206349
"70","O","H2",2021,0
"71","C","Oil",2022,1741.13333333333
"72","C","LNG",2022,0
"73","C","LPG",2022,0
"74","C","MeOH",2022,0
"75","C","NH3",2022,0
"76","C","RefPO",2022,1658.22222222222
"77","C","H2",2022,0
"78","T","Oil",2022,2141.24731182796
"79","T","LNG",2022,0
"80","T","LPG",2022,0
