"","ship_type","fuel_type","year","consumption"
"1","C","Oil",2020,1750.01666666667
"2","C","LNG",2020,0
"3","C","LPG",2020,0
"4","C","MeOH",2020,0
"5","C","NH3",2020,0
"6","C","RefPO",2020,1666.68253968254
"7","C","H2",2020,0
"8","T","Oil",2020,2152.17204301075
"9","T","LNG",2020,0
"10","T","LPG",2020,0
"11","T","MeOH",2020,0
"12","T","NH3",2020,0
"13","T","RefPO",2020,1921.5821812596
"14","T","H2",2020,0
"15","B","Oil",2020,2421.41142857143
"16","B","LNG",2020,0
"17","B","LPG",2020,0
"18","B","MeOH",2020,0
"19","B","NH3",2020,0
"20","B","RefPO",2020,2177.98911564626
"21","B","H2",2020,0
"22","G","Oil",2020,2017.55172413793
"23","G","LNG",2020,0
"24","G","LPG",2020,0
"25","G","MeOH",2020,0
"26","G","NH3",2020,0
"27","G","RefPO",2020,1793.37931034483
"28","G","H2",2020,0
"29","O","Oil",2020,1079.85185185185
"30","O","LNG",2020,0
"31","O","LPG",2020,0
"32","O","MeOH",2020,0
"33","O","NH3",2020,0
"34","O","RefPO",2020,1285.53791887125
"35","O","H2",2020,0
"36","C","Oil",2021,1732.5165
"37","C","LNG",2021,0
"38","C","LPG",2021,0
"39","C","MeOH",2021,0
"40","C","NH3",2021,0
"41","C","RefPO",2021,1650.01571428571
"42","C","H2",2021,0
"43","T","Oil",2021,2130.65032258065
"44","T","LNG",2021,0
"45","T","LPG",2021,0
"46","T","MeOH",2021,0
"47","T","NH3",2021,0
"48","T","RefPO",2021,1902.366359447
"49","T","H2",2021,0
"50","B","Oil",2021,2397.19731428571
"51","B","LNG",2021,0
"52","B","LPG",2021,0
"53","B","MeOH",2021,0
"54","B","NH3",2021,0
"55","B","RefPO",2021,2156.2092244898
"56","B","H2",2021,0
"57","G","Oil",2021,1997.37620689655
"58","G","LNG",2021,0
"59","G","LPG",2021,0
"60","G","MeOH",2021,0
"61","G","NH3",2021,0
"62","G","RefPO",2021,1775.44551724138
"63","G","H2",2021,0
"64","O","Oil",2021,1069.05333333333
"65","O","LNG",2021,0
"66","O","LPG",2021,0
"67","O","MeOH",2021,0
"68","O","NH3",2021,0
"69","O","RefPO",2021,1272.68253968254
"70","O","H2",2021,0
"71","C","Oil",2022,1715.01633333333
"72","C","LNG",2022,0
"73","C","LPG",2022,0
"74","C","MeOH",2022,0
"75","C","NH3",2022,0
"76","C","RefPO",2022,1633.34888888889
"77","C","H2",2022,0
"78","T","Oil",2022,2109.12860215054
"79","T","LNG",2022,0
"80","T","LPG",2022,0
"81","T","MeOH",2022,0
"82","T","NH3",2022,0
"83","T","RefPO",2022,1883.15053763441
"84","T","H2",2022,0
"85","B","Oil",2022,2372.9832
"86","B","LNG",2022,0
"87","B","LPG",2022,0
"88","B","MeOH",2022,0
"89","B","NH3",2022,0
"90","B","RefPO",2022,2134.42933333333
"91","B","H2",2022,0
"92","G","Oil",2022,1977.20068965517
"93","G","LNG",2022,0
"94","G","LPG",2022,0
"95","G","MeOH",2022,0
"96","G","NH3",2022,0
"97","G","RefPO",2022,1757.51172413793
"98","G","H2",2022,0
"99","O","Oil",2022,1058.25481481481
"100","O","LNG",2022,0
"101","O","LPG",2022,0
"102","O","MeOH",2022,0
"103","O","NH3",2022,0
"104","O","RefPO",2022,1259.82716049383
"105","O","H2",2022,0
"106","C","Oil",2023,1697.51616666667
"107","C","LNG",2023,0
"108","C","LPG",2023,0
"109","C","MeOH",2023,0
"110","C","NH3",2023,0
"111","C","RefPO",2023,1616.68206349206
"112","C","H2",2023,0
"113","T","Oil",2023,2087.60688172043
"114","T","LNG",2023,0
"115","T","LPG",2023,0
"116","T","MeOH",2023,0
"117","T","NH3",2023,0
"118","T","RefPO",2023,1863.93471582181
"119","T","H2",2023,0
"120","B","Oil",2023,2348.76908571429
"121","B","LNG",2023,0
"122","B","LPG",2023,0
"123","B","MeOH",2023,0
"124","B","NH3",2023,0
"125","B","RefPO",2023,2112.64944217687
"126","B","H2",2023,0
"127","G","Oil",2023,1957.02517241379
"128","G","LNG",2023,0
"129","G","LPG",2023,0
"130","G","MeOH",2023,0
"131","G","NH3",2023,0
"132","G","RefPO",2023,1739.57793103448
"133","G","H2",2023,0
"134","O","Oil",2023,1047.4562962963
"135","O","LNG",2023,0
"136","O","LPG",2023,0
"137","O","MeOH",2023,0
"138","O","NH3",2023,0
"139","O","RefPO",2023,1246.97178130511
"140","O","H2",2023,0
"141","C","Oil",2024,1680.016
"142","C","LNG",2024,0
"143","C","LPG",2024,0
"144","C","MeOH",2024,0
"145","C","NH3",2024,0
"146","C","RefPO",2024,1600.01523809524
"147","C","H2",2024,0
"148","T","Oil",2024,2066.08516129032
"149","T","LNG",2024,0
"150","T","LPG",2024,0
"151","T","MeOH",2024,0
"152","T","NH3",2024,0
"153","T","RefPO",2024,1844.71889400922
"154","T","H2",2024,0
"155","B","Oil",2024,2324.55497142857
"156","B","LNG",2024,0
"157","B","LPG",2024,0
"158","B","MeOH",2024,0
"159","B","NH3",2024,0
"160","B","RefPO",2024,2090.86955102041
"161","B","H2",2024,0
"162","G","Oil",2024,1936.84965517241
"163","G","LNG",2024,0
"164","G","LPG",2024,0
"165","G","MeOH",2024,0
"166","G","NH3",2024,0
"167","G","RefPO",2024,1721.64413793103
"168","G","H2",2024,0
"169","O","Oil",2024,1036.65777777778
"170","O","LNG",2024,0
"171","O","LPG",2024,0
"172","O","MeOH",2024,0
"173","O","NH3",2024,0
"174","O","RefPO",2024,1234.1164021164
"175","O","H2",2024,0
"176","C","Oil",2025,1405.70444444444
"177","C","LNG",2025,386.18253968254
"178","C","LPG",2025,472.000881834215
"179","C","MeOH",2025,0
"180","C","NH3",2025,0
"181","C","RefPO",2025,1338.76613756614
"182","C","H2",2025,0
"183","T","Oil",2025,1701.5158836689
"184","T","LNG",2025,569.703978906999
"185","T","LPG",2025,548.603831540073
"186","T","MeOH",2025,0
"187","T","NH3",2025,0
"188","T","RefPO",2025,1519.21061041866
"189","T","H2",2025,0
"190","B","Oil",2025,1894.39835294118
"191","B","LNG",2025,704.761292016807
"192","B","LPG",2025,626.454481792717
"193","B","MeOH",2025,0
"194","B","NH3",2025,0
"195","B","RefPO",2025,1703.95619047619
"196","B","H2",2025,0
"197","G","Oil",2025,1612.28571428571
"198","G","LNG",2025,475.048469387755
"199","G","LPG",2025,511.836734693877
"200","G","MeOH",2025,0
"201","G","NH3",2025,0
"202","G","RefPO",2025,1433.14285714286
"203","G","H2",2025,0
"204","O","Oil",2025,868.963137254902
"205","O","LNG",2025,290.947478991597
"206","O","LPG",2025,301.723311546841
"207","O","MeOH",2025,0
"208","O","NH3",2025,0
"209","O","RefPO",2025,1034.47992530345
"210","O","H2",2025,0
"211","C","Oil",2026,1390.90755555556
"212","C","LNG",2026,382.11746031746
"213","C","LPG",2026,467.032451499118
"214","C","MeOH",2026,0
"215","C","NH3",2026,0
"216","C","RefPO",2026,1324.67386243386
"217","C","H2",2026,0
