"","ship_type","fuel_type","year","consumption"
"1","C","Oil",2020,1714.48333333333
"2","C","LNG",2020,0
"3","C","LPG",2020,0
"4","C","MeOH",2020,0
"5","C","NH3",2020,0
"6","C","RefPO",2020,1632.84126984127
"7","C","H2",2020,0
"8","T","Oil",2020,2108.47311827957
"9","T","LNG",2020,0
"10","T","LPG",2020,0
"11","T","MeOH",2020,0
"12","T","NH3",2020,0
"13","T","RefPO",2020,1882.56528417819
"14","T","H2",2020,0
"15","B","Oil",2020,2372.24571428571
"16","B","LNG",2020,0
"17","B","LPG",2020,0
"18","B","MeOH",2020,0
"19","B","NH3",2020,0
"20","B","RefPO",2020,2133.76598639456
"21","B","H2",2020,0
"22","G","Oil",2020,1976.58620689655
"23","G","LNG",2020,0
"24","G","LPG",2020,0
"25","G","MeOH",2020,0
"26","G","NH3",2020,0
"27","G","RefPO",2020,1756.96551724138
"28","G","H2",2020,0
"29","O","Oil",2020,1057.92592592593
"30","O","LNG",2020,0
"31","O","LPG",2020,0
"32","O","MeOH",2020,0
"33","O","NH3",2020,0
"34","O","RefPO",2020,1259.43562610229
"35","O","H2",2020,0
"36","C","Oil",2021,1697.3385
"37","C","LNG",2021,0
"38","C","LPG",2021,0
"39","C","MeOH",2021,0
"40","C","NH3",2021,0
"41","C","RefPO",2021,1616.51285714286
"42","C","H2",2021,0
"43","T","Oil",2021,2087.38838709677
"44","T","LNG",2021,0
"45","T","LPG",2021,0
"46","T","MeOH",2021,0
"47","T","NH3",2021,0
"48","T","RefPO",2021,1863.73963133641
"49","T","H2",2021,0
"50","B","Oil",2021,2348.52325714286
"51","B","LNG",2021,0
"52","B","LPG",2021,0
"53","B","MeOH",2021,0
"54","B","NH3",2021,0
"55","B","RefPO",2021,2112.42832653061
"56","B","H2",2021,0
"57","G","Oil",2021,1956.82034482759
"58","G","LNG",2021,0
"59","G","LPG",2021,0
"60","G","MeOH",2021,0
"61","G","NH3",2021,0
"62","G","RefPO",2021,1739.39586206897
"63","G","H2",2021,0
"64","O","Oil",2021,1047.34666666667
"65","O","LNG",2021,0
"66","O","LPG",2021,0
"67","O","MeOH",2021,0
"68","O","NH3",2021,0
"69","O","RefPO",2021,1246.84126984127
"70","O","H2",2021,0
"71","C","Oil",2022,1680.19366666667
"72","C","LNG",2022,0
"73","C","LPG",2022,0
"74","C","MeOH",2022,0
"75","C","NH3",2022,0
"76","C","RefPO",2022,1600.18444444444
"77","C","H2",2022,0
"78","T","Oil",2022,2066.30365591398
"79","T","LNG",2022,0
"80","T","LPG",2022,0
"81","T","MeOH",2022,0
"82","T","NH3",2022,0
"83","T","RefPO",2022,1844.91397849462
"84","T","H2",2022,0
"85","B","Oil",2022,2324.8008
"86","B","LNG",2022,0
"87","B","LPG",2022,0
"88","B","MeOH",2022,0
"89","B","NH3",2022,0
"90","B","RefPO",2022,2091.09066666667
"91","B","H2",2022,0
"92","G","Oil",2022,1937.05448275862
"93","G","LNG",2022,0
"94","G","LPG",2022,0
"95","G","MeOH",2022,0
"96","G","NH3",2022,0
"97","G","RefPO",2022,1721.82620689655
"98","G","H2",2022,0
"99","O","Oil",2022,1036.76740740741
"100","O","LNG",2022,0
"101","O","LPG",2022,0
"102","O","MeOH",2022,0
"103","O","NH3",2022,0
"104","O","RefPO",2022,1234.24691358025
"105","O","H2",2022,0
"106","C","Oil",2023,1663.04883333333
"107","C","LNG",2023,0
"108","C","LPG",2023,0
"109","C","MeOH",2023,0
"110","C","NH3",2023,0
"111","C","RefPO",2023,1583.85603174603
"112","C","H2",2023,0
"113","T","Oil",2023,2045.21892473118
"114","T","LNG",2023,0
"115","T","LPG",2023,0
"116","T","MeOH",2023,0
"117","T","NH3",2023,0
"118","T","RefPO",2023,1826.08832565284
"119","T","H2",2023,0
"120","B","Oil",2023,2301.07834285714
"121","B","LNG",2023,0
"122","B","LPG",2023,0
"123","B","MeOH",2023,0
"124","B","NH3",2023,0
"125","B","RefPO",2023,2069.75300680272
"126","B","H2",2023,0
"127","G","Oil",2023,1917.28862068966
"128","G","LNG",2023,0
"129","G","LPG",2023,0
"130","G","MeOH",2023,0
"131","G","NH3",2023,0
"132","G","RefPO",2023,1704.25655172414
"133","G","H2",2023,0
"134","O","Oil",2023,1026.18814814815
"135","O","LNG",2023,0
"136","O","LPG",2023,0
"137","O","MeOH",2023,0
"138","O","NH3",2023,0
"139","O","RefPO",2023,1221.65255731922
"140","O","H2",2023,0
"141","C","Oil",2024,1645.904
"142","C","LNG",2024,0
"143","C","LPG",2024,0
"144","C","MeOH",2024,0
"145","C","NH3",2024,0
"146","C","RefPO",2024,1567.52761904762
"147","C","H2",2024,0
"148","T","Oil",2024,2024.13419354839
"149","T","LNG",2024,0
"150","T","LPG",2024,0
"151","T","MeOH",2024,0
"152","T","NH3",2024,0
"153","T","RefPO",2024,1807.26267281106
"154","T","H2",2024,0
"155","B","Oil",2024,2277.35588571429
"156","B","LNG",2024,0
"157","B","LPG",2024,0
"158","B","MeOH",2024,0
"159","B","NH3",2024,0
"160","B","RefPO",2024,2048.41534693878
"161","B","H2",2024,0
"162","G","Oil",2024,1897.52275862069
"163","G","LNG",2024,0
"164","G","LPG",2024,0
"165","G","MeOH",2024,0
"166","G","NH3",2024,0
"167","G","RefPO",2024,1686.68689655172
"168","G","H2",2024,0
"169","O","Oil",2024,1015.60888888889
"170","O","LNG",2024,0
"171","O","LPG",2024,0
"172","O","MeOH",2024,0
"173","O","NH3",2024,0
"174","O","RefPO",2024,1209.0582010582
"175","O","H2",2024,0
"176","C","Oil",2025,1377.16222222222
"177","C","LNG",2025,378.34126984127
"178","C","LPG",2025,462.417107583774
"179","C","MeOH",2025,0
"180","C","NH3",2025,0
"181","C","RefPO",2025,1311.58306878307
"182","C","H2",2025,0
"183","T","Oil",2025,1666.96733780761
"184","T","LNG",2025,558.136385426654
"185","T","LPG",2025,537.464667447889
"186","T","MeOH",2025,0
"187","T","NH3",2025,0
"188","T","RefPO",2025,1488.36369447108
"189","T","H2",2025,0
"190","B","Oil",2025,1855.93341176471
"191","B","LNG",2025,690.451418067227
"192","B","LPG",2025,613.734593837535
"193","B","MeOH",2025,0
"194","B","NH3",2025,0
"195","B","RefPO",2025,1669.3580952381
"196","B","H2",2025,0
"197","G","Oil",2025,1579.54894851342
"198","G","LNG",2025,465.402815186988
"199","G","LPG",2025,501.444110639179
"200","G","MeOH",2025,0
"201","G","NH3",2025,0
"202","G","RefPO",2025,1404.0435097897
"203","G","H2",2025,0
"204","O","Oil",2025,851.319215686275
"205","O","LNG",2025,285.039915966387
"206","O","LPG",2025,295.596949891068
"207","O","MeOH",2025,0
"208","O","NH3",2025,0
"209","O","RefPO",2025,1013.47525676937
"210","O","H2",2025,0
"211","C","Oil",2026,1362.66577777778
"212","C","LNG",2026,374.35873015873
"213","C","LPG",2026,457.549559082892
"214","C","MeOH",2026,0
"215","C","NH3",2026,0
"216","C","RefPO",2026,1297.77693121693
"217","C","H2",2026,0
"218","T","Oil",2026,1649.42031319911
"219","T","LNG",2026,552.261265580057
"220","T","LPG",2026,531.807144632648
"221","T","MeOH",2026,0
"222","T","NH3",2026,0
"223","T","RefPO",2026,1472.69670821349
"224","T","H2",2026,0
