year,ship_type,CII,,,
2025,C,170,,,
2025,T,1075,,,
2025,B,1700,,,
2025,G,18275,,,
2025,O,40000,,,
2026,C,161.5,,,
2026,T,1021.25,,,
2026,B,1615,,,
2026,G,17361.25,,,
2026,O,38000,,,
2027,C,158.1,,,
2027,T,999.75,,,
2027,B,1581,,,
2027,G,16995.75,,,
2027,O,37200,,,
2028,C,146.8375,,,
2028,T,978.25,,,
2028,B,1547,,,
2028,G,16630.25,,,
2028,O,36400,,,
2029,C,142.375,,,
2029,T,956.75,,,
2029,B,1513,,,
2029,G,16264.75,,,
2029,O,35600,,,
2030,C,137.9125,,,
2030,T,928.53125,,,
2030,B,1468.375,,,
2030,G,15785.03125,,,
2030,O,34800,,,
2031,C,133.45,,,
2031,T,900.3125,,,
2031,B,1379.125,,,
2031,G,15305.3125,,,
2031,O,33500,,,
2032,C,127.925,,,
2032,T,872.09375,,,
2032,B,1334.5,,,
2032,G,14825.59375,,,
2032,O,32450,,,
2033,C,122.4,,,
2033,T,843.875,,,
2033,B,1279.25,,,
2033,G,14345.875,,,
2033,O,31400,,,
2034,C,116.875,,,
2034,T,806.8823529,,,
2034,B,1224,,,
2034,G,14345.875,,,
2034,O,30100,,,
2035,C,111.35,,,
2035,T,769.8897059,,,
2035,B,1168.75,,,
2035,G,13677.69531,,,
2035,O,28800,,,
2036,C,105.825,,,
2036,T,732.8970588,,,
2036,B,1113.5,,,
2036,G,13009.51563,,,
2036,O,27500,,,
2037,C,100.3,,,
2037,T,695.9044118,,,
2037,B,1058.25,,,
2037,G,12341.33594,,,
2037,O,26200,,,
2038,C,94.775,,,
2038,T,658.9117647,,,
2038,B,1003,,,
2038,G,11673.15625,,,
2038,O,24900,,,
2039,C,89.25,,,
2039,T,621.9191176,,,
2039,B,947.75,,,
2039,G,11004.97656,,,
2039,O,23600,,,
2040,C,83.725,,,
2040,T,584.9264706,,,
2040,B,892.5,,,
2040,G,10336.79688,,,
2040,O,22300,,,
2041,C,78.2,,,
2041,T,547.9338235,,,
2041,B,837.25,,,
2041,G,9668.617188,,,
2041,O,21000,,,
2042,C,72.675,,,
2042,T,510.9411765,,,
2042,B,782,,,
2042,G,9000.4375,,,
2042,O,19700,,,
2043,C,67.15,,,
2043,T,473.9485294,,,
2043,B,726.75,,,
2043,G,8332.257813,,,
2043,O,18400,,,
2044,C,61.625,,,
2044,T,436.9558824,,,
2044,B,671.5,,,
2044,G,7664.078125,,,
2044,O,17100,,,
2045,C,56.1,,,
2045,T,399.9632353,,,
2045,B,616.25,,,
2045,G,6995.898438,,,
2045,O,15800,,,
2046,C,50.575,,,
2046,T,362.9705882,,,
2046,B,561,,,
2046,G,6327.71875,,,
2046,O,14500,,,
2047,C,45.05,,,
2047,T,325.9779412,,,
2047,B,505.75,,,
2047,G,5659.539063,,,
2047,O,13200,,,
2048,C,39.525,,,
2048,T,288.9852941,,,
2048,B,450.5,,,
2048,G,4991.359375,,,
2048,O,11900,,,
2049,C,34,,,
2049,T,251.9926471,,,
2049,B,395.25,,,
2049,G,4323.179688,,,
2049,O,10600,,,
2050,C,34,,,
2050,T,215,,,
2050,B,340,,,
2050,G,3655,,,
2050,O,8000,,,
