"","ship_type","fuel_type","year","consumption"
"1","C","Oil",2025,1243.66666666667
"2","C","LNG",2025,0
"3","C","LPG",2025,0
"4","C","MeOH",2025,0
"5","C","NH3",2025,0
"6","C","RefPO",2025,1184.44444444444
"7","C","H2",2025,0
"8","T","Oil",2025,1529.4623655914
"9","T","LNG",2025,0
"10","T","LPG",2025,0
"11","T","MeOH",2025,0
"12","T","NH3",2025,0
"13","T","RefPO",2025,1365.59139784946
"14","T","H2",2025,0
"15","B","Oil",2025,1720.8
"16","B","LNG",2025,0
"17","B","LPG",2025,0
"18","B","MeOH",2025,0
"19","B","NH3",2025,0
"20","B","RefPO",2025,1547.80952380952
"21","B","H2",2025,0
"22","G","Oil",2025,1433.79310344828
"23","G","LNG",2025,0
"24","G","LPG",2025,0
"25","G","MeOH",2025,0
"26","G","NH3",2025,0
"27","G","RefPO",2025,1274.48275862069
"28","G","H2",2025,0
"29","O","Oil",2025,767.407407407407
"30","O","LNG",2025,0
"31","O","LPG",2025,0
"32","O","MeOH",2025,0
"33","O","NH3",2025,0
"34","O","RefPO",2025,913.58024691358
"35","O","H2",2025,0
"36","C","Oil",2026,1231.23
"37","C","LNG",2026,0
"38","C","LPG",2026,0
"39","C","MeOH",2026,0
"40","C","NH3",2026,0
"41","C","RefPO",2026,1172.6
"42","C","H2",2026,0
"43","T","Oil",2026,1514.16774193548
"44","T","LNG",2026,0
"45","T","LPG",2026,0
"46","T","MeOH",2026,0
"47","T","NH3",2026,0
"48","T","RefPO",2026,1351.93548387097
"49","T","H2",2026,0
"50","B","Oil",2026,1703.592
"51","B","LNG",2026,0
"52","B","LPG",2026,0
"53","B","MeOH",2026,0
"54","B","NH3",2026,0
"55","B","RefPO",2026,1532.33142857143
"56","B","H2",2026,0
"57","G","Oil",2026,1419.45517241379
"58","G","LNG",2026,0
"59","G","LPG",2026,0
"60","G","MeOH",2026,0
"61","G","NH3",2026,0
"62","G","RefPO",2026,1261.73793103448
"63","G","H2",2026,0
"64","O","Oil",2026,759.733333333333
"65","O","LNG",2026,0
"66","O","LPG",2026,0
"67","O","MeOH",2026,0
"68","O","NH3",2026,0
"69","O","RefPO",2026,904.444444444444
"70","O","H2",2026,0
"71","C","Oil",2027,1218.79333333333
"72","C","LNG",2027,0
"73","C","LPG",2027,0
"74","C","MeOH",2027,0
"75","C","NH3",2027,0
"76","C","RefPO",2027,1160.75555555556
"77","C","H2",2027,0
"78","T","Oil",2027,1498.87311827957
"79","T","LNG",2027,0
"80","T","LPG",2027,0
"81","T","MeOH",2027,0
"82","T","NH3",2027,0
"83","T","RefPO",2027,1338.27956989247
"84","T","H2",2027,0
"85","B","Oil",2027,1686.384
"86","B","LNG",2027,0
"87","B","LPG",2027,0
"88","B","MeOH",2027,0
"89","B","NH3",2027,0
"90","B","RefPO",2027,1516.85333333333
"91","B","H2",2027,0
"92","G","Oil",2027,1405.11724137931
"93","G","LNG",2027,0
"94","G","LPG",2027,0
"95","G","MeOH",2027,0
"96","G","NH3",2027,0
"97","G","RefPO",2027,1248.99310344828
"98","G","H2",2027,0
"99","O","Oil",2027,752.059259259259
"100","O","LNG",2027,0
"101","O","LPG",2027,0
"102","O","MeOH",2027,0
"103","O","NH3",2027,0
"104","O","RefPO",2027,895.308641975309
"105","O","H2",2027,0
"106","C","Oil",2028,1206.35666666667
"107","C","LNG",2028,0
"108","C","LPG",2028,0
"109","C","MeOH",2028,0
"110","C","NH3",2028,0
"111","C","RefPO",2028,1148.91111111111
"112","C","H2",2028,0
"113","T","Oil",2028,1483.57849462366
"114","T","LNG",2028,0
"115","T","LPG",2028,0
"116","T","MeOH",2028,0
"117","T","NH3",2028,0
"118","T","RefPO",2028,1324.62365591398
"119","T","H2",2028,0
"120","B","Oil",2028,1669.176
"121","B","LNG",2028,0
"122","B","LPG",2028,0
"123","B","MeOH",2028,0
"124","B","NH3",2028,0
"125","B","RefPO",2028,1501.37523809524
"126","B","H2",2028,0
"127","G","Oil",2028,1390.77931034483
"128","G","LNG",2028,0
"129","G","LPG",2028,0
"130","G","MeOH",2028,0
"131","G","NH3",2028,0
"132","G","RefPO",2028,1236.24827586207
"133","G","H2",2028,0
"134","O","Oil",2028,744.385185185185
"135","O","LNG",2028,0
"136","O","LPG",2028,0
"137","O","MeOH",2028,0
"138","O","NH3",2028,0
"139","O","RefPO",2028,886.172839506173
"140","O","H2",2028,0
"141","C","Oil",2029,1193.92
"142","C","LNG",2029,0
"143","C","LPG",2029,0
"144","C","MeOH",2029,0
"145","C","NH3",2029,0
"146","C","RefPO",2029,1137.06666666667
"147","C","H2",2029,0
"148","T","Oil",2029,1468.28387096774
"149","T","LNG",2029,0
"150","T","LPG",2029,0
"151","T","MeOH",2029,0
"152","T","NH3",2029,0
"153","T","RefPO",2029,1310.96774193548
"154","T","H2",2029,0
"155","B","Oil",2029,1651.968
"156","B","LNG",2029,0
"157","B","LPG",2029,0
"158","B","MeOH",2029,0
"159","B","NH3",2029,0
"160","B","RefPO",2029,1485.89714285714
"161","B","H2",2029,0
"162","G","Oil",2029,1376.44137931034
"163","G","LNG",2029,0
"164","G","LPG",2029,0
"165","G","MeOH",2029,0
"166","G","NH3",2029,0
"167","G","RefPO",2029,1223.50344827586
"168","G","H2",2029,0
"169","O","Oil",2029,736.711111111111
"170","O","LNG",2029,0
"171","O","LPG",2029,0
"172","O","MeOH",2029,0
"173","O","NH3",2029,0
"174","O","RefPO",2029,877.037037037037
"175","O","H2",2029,0
"176","C","Oil",2030,998.977777777778
"177","C","LNG",2030,274.444444444444
"178","C","LPG",2030,335.432098765432
"179","C","MeOH",2030,0
"180","C","NH3",2030,0
"181","C","RefPO",2030,951.407407407407
"182","C","H2",2030,0
"183","T","Oil",2030,1209.19910514541
"184","T","LNG",2030,404.86577181208
"185","T","LPG",2030,389.870743226448
"186","T","MeOH",2030,0
"187","T","NH3",2030,0
"188","T","RefPO",2030,1079.64205816555
"189","T","H2",2030,0
"190","B","Oil",2030,1346.27294117647
"191","B","LNG",2030,500.845588235294
"192","B","LPG",2030,445.196078431373
"193","B","MeOH",2030,0
"194","B","NH3",2030,0
"195","B","RefPO",2030,1210.93333333333
"196","B","H2",2030,0
"197","G","Oil",2030,1145.78680203046
"198","G","LNG",2030,337.597897026831
"199","G","LPG",2030,363.741841914431
"200","G","MeOH",2030,0
"201","G","NH3",2030,0
"202","G","RefPO",2030,1018.47715736041
"203","G","H2",2030,0
"204","O","Oil",2030,617.537254901961
"205","O","LNG",2030,206.764705882353
"206","O","LPG",2030,214.42265795207
"207","O","MeOH",2030,0
"208","O","NH3",2030,0
"209","O","RefPO",2030,735.16339869281
"210","O","H2",2030,0
"211","C","Oil",2031,988.462222222222
"212","C","LNG",2031,271.555555555556
"213","C","LPG",2031,331.901234567901
"214","C","MeOH",2031,0
