"ship_type","fuel_type","year","consumption"
"C","Oil",2025,1776.66666666667
"C","LNG",2025,0
"C","LPG",2025,0
"C","MeOH",2025,0
"C","NH3",2025,0
"C","RefPO",2025,1692.06349206349
"C","H2",2025,0
"T","Oil",2025,2184.94623655914
"T","LNG",2025,0
"T","LPG",2025,0
"T","MeOH",2025,0
"T","NH3",2025,0
"T","RefPO",2025,1950.84485407066
"T","H2",2025,0
"B","Oil",2025,2458.28571428571
"B","LNG",2025,0
"B","LPG",2025,0
"B","MeOH",2025,0
"B","NH3",2025,0
"B","RefPO",2025,2211.15646258503
"B","H2",2025,0
"G","Oil",2025,2048.27586206897
"G","LNG",2025,0
"G","LPG",2025,0
"G","MeOH",2025,0
"G","NH3",2025,0
"G","RefPO",2025,1820.68965517241
"G","H2",2025,0
"O","Oil",2025,1096.2962962963
"O","LNG",2025,0
"O","LPG",2025,0
"O","MeOH",2025,0
"O","NH3",2025,0
"O","RefPO",2025,1305.11463844797
"O","H2",2025,0
"C","Oil",2026,1758.9
"C","LNG",2026,0
"C","LPG",2026,0
"C","MeOH",2026,0
"C","NH3",2026,0
"C","RefPO",2026,1675.14285714286
"C","H2",2026,0
"T","Oil",2026,2163.09677419355
"T","LNG",2026,0
"T","LPG",2026,0
"T","MeOH",2026,0
"T","NH3",2026,0
"T","RefPO",2026,1931.33640552995
"T","H2",2026,0
"B","Oil",2026,2433.70285714286
"B","LNG",2026,0
"B","LPG",2026,0
"B","MeOH",2026,0
"B","NH3",2026,0
"B","RefPO",2026,2189.04489795918
"B","H2",2026,0
"G","Oil",2026,2027.79310344828
"G","LNG",2026,0
"G","LPG",2026,0
"G","MeOH",2026,0
"G","NH3",2026,0
"G","RefPO",2026,1802.48275862069
"G","H2",2026,0
"O","Oil",2026,1085.33333333333
"O","LNG",2026,0
"O","LPG",2026,0
"O","MeOH",2026,0
"O","NH3",2026,0
"O","RefPO",2026,1292.06349206349
"O","H2",2026,0
"C","Oil",2027,1741.13333333333
"C","LNG",2027,0
"C","LPG",2027,0
"C","MeOH",2027,0
"C","NH3",2027,0
"C","RefPO",2027,1658.22222222222
"C","H2",2027,0
"T","Oil",2027,2141.24731182796
"T","LNG",2027,0
"T","LPG",2027,0
"T","MeOH",2027,0
"T","NH3",2027,0
"T","RefPO",2027,1911.82795698925
"T","H2",2027,0
"B","Oil",2027,2409.12
"B","LNG",2027,0
"B","LPG",2027,0
"B","MeOH",2027,0
"B","NH3",2027,0
"B","RefPO",2027,2166.93333333333
"B","H2",2027,0
"G","Oil",2027,2007.31034482759
"G","LNG",2027,0
"G","LPG",2027,0
"G","MeOH",2027,0
"G","NH3",2027,0
"G","RefPO",2027,1784.27586206897
"G","H2",2027,0
"O","Oil",2027,1074.37037037037
"O","LNG",2027,0
"O","LPG",2027,0
"O","MeOH",2027,0
"O","NH3",2027,0
"O","RefPO",2027,1279.01234567901
"O","H2",2027,0
"C","Oil",2028,1723.36666666667
"C","LNG",2028,0
"C","LPG",2028,0
"C","MeOH",2028,0
"C","NH3",2028,0
"C","RefPO",2028,1641.30158730159
"C","H2",2028,0
"T","Oil",2028,2119.39784946237
"T","LNG",2028,0
"T","LPG",2028,0
"T","MeOH",2028,0
"T","NH3",2028,0
"T","RefPO",2028,1892.31950844854
"T","H2",2028,0
"B","Oil",2028,2384.53714285714
"B","LNG",2028,0
"B","LPG",2028,0
"B","MeOH",2028,0
"B","NH3",2028,0
"B","RefPO",2028,2144.82176870748
"B","H2",2028,0
"G","Oil",2028,1986.8275862069
"G","LNG",2028,0
"G","LPG",2028,0
"G","MeOH",2028,0
"G","NH3",2028,0
"G","RefPO",2028,1766.06896551724
"G","H2",2028,0
"O","Oil",2028,1063.40740740741
"O","LNG",2028,0
"O","LPG",2028,0
"O","MeOH",2028,0
"O","NH3",2028,0
"O","RefPO",2028,1265.96119929453
"O","H2",2028,0
"C","Oil",2029,1705.6
