"year","fuel_type","cost"
2025,"Oil",4e-04
2025,"LNG",0.00065
2025,"LPG",5e-04
2025,"MeOH",0.00062
2025,"NH3",0.0011
2025,"RefPO",7e-04
2025,"H2",0.0035
2026,"Oil",0.000395
2026,"LNG",0.000636733333333333
2026,"LPG",0.000492783333333333
2026,"MeOH",0.0006082
2026,"NH3",0.00107058333333333
2026,"RefPO",0.000692416666666667
2026,"H2",0.00338893333333333
2027,"Oil",0.00039
2027,"LNG",0.000623466666666667
2027,"LPG",0.000485566666666667
2027,"MeOH",0.0005964
2027,"NH3",0.00104116666666667
2027,"RefPO",0.000684833333333333
2027,"H2",0.00327786666666667
2028,"Oil",0.000385
2028,"LNG",0.0006102
2028,"LPG",0.00047835
2028,"MeOH",0.0005846
2028,"NH3",0.00101175
2028,"RefPO",0.00067725
2028,"H2",0.0031668
2029,"Oil",0.00038
2029,"LNG",0.000596933333333333
2029,"LPG",0.000471133333333333
2029,"MeOH",0.0005728
2029,"NH3",0.000982333333333333
2029,"RefPO",0.000669666666666667
2029,"H2",0.00305573333333333
2030,"Oil",0.000375
2030,"LNG",0.000583666666666667
2030,"LPG",0.000463916666666667
2030,"MeOH",0.000561
2030,"NH3",0.000952916666666667
2030,"RefPO",0.000662083333333333
2030,"H2",0.00294466666666667
2031,"Oil",0.00037
2031,"LNG",0.0005704
2031,"LPG",0.0004567
2031,"MeOH",0.0005492
2031,"NH3",0.0009235
2031,"RefPO",0.0006545
2031,"H2",0.0028336
2032,"Oil",0.000365
2032,"LNG",0.000557133333333333
2032,"LPG",0.000449483333333333
2032,"MeOH",0.0005374
2032,"NH3",0.000894083333333333
2032,"RefPO",0.000646916666666667
2032,"H2",0.00272253333333333
2033,"Oil",0.00036
2033,"LNG",0.000543866666666667
2033,"LPG",0.000442266666666667
2033,"MeOH",0.0005256
2033,"NH3",0.000864666666666667
2033,"RefPO",0.000639333333333333
2033,"H2",0.00261146666666667
2034,"Oil",0.000355
2034,"LNG",0.0005306
2034,"LPG",0.00043505
2034,"MeOH",0.0005138
2034,"NH3",0.00083525
2034,"RefPO",0.00063175
2034,"H2",0.0025004
2035,"Oil",0.00035
2035,"LNG",0.000517333333333333
2035,"LPG",0.000427833333333333
2035,"MeOH",0.000502
2035,"NH3",0.000805833333333333
2035,"RefPO",0.000624166666666667
2035,"H2",0.00238933333333333
2036,"Oil",0.000345
2036,"LNG",0.000504066666666667
2036,"LPG",0.000420616666666667
2036,"MeOH",0.0004902
2036,"NH3",0.000776416666666667
2036,"RefPO",0.000616583333333333
2036,"H2",0.00227826666666667
2037,"Oil",0.00034
2037,"LNG",0.0004908
2037,"LPG",0.0004134
2037,"MeOH",0.0004784
2037,"NH3",0.000747
2037,"RefPO",0.000609
2037,"H2",0.0021672
2038,"Oil",0.000335
2038,"LNG",0.000477533333333333
2038,"LPG",0.000406183333333333
2038,"MeOH",0.0004666
2038,"NH3",0.000717583333333333
2038,"RefPO",0.000601416666666667
2038,"H2",0.00205613333333333
2039,"Oil",0.00033
2039,"LNG",0.000464266666666667
2039,"LPG",0.000398966666666667
2039,"MeOH",0.0004548
2039,"NH3",0.000688166666666667
2039,"RefPO",0.000593833333333333
2039,"H2",0.00194506666666667
2040,"Oil",0.000325
2040,"LNG",0.000451
2040,"LPG",0.00039175
2040,"MeOH",0.000443
2040,"NH3",0.00065875
2040,"RefPO",0.00058625
2040,"H2",0.001834
2041,"Oil",0.00032
2041,"LNG",0.000437733333333333
2041,"LPG",0.000384533333333333
2041,"MeOH",0.0004312
2041,"NH3",0.000629333333333333
2041,"RefPO",0.000578666666666667
2041,"H2",0.00172293333333333
2042,"Oil",0.000315
2042,"LNG",0.000424466666666667
2042,"LPG",0.000377316666666667
2042,"MeOH",0.0004194
2042,"NH3",0.000599916666666667
2042,"RefPO",0.000571083333333333
2042,"H2",0.00161186666666667
2043,"Oil",0.00031
2043,"LNG",0.0004112
2043,"LPG",0.0003701
2043,"MeOH",0.0004076
2043,"NH3",0.0005705
2043,"RefPO",0.0005635
2043,"H2",0.0015008
2044,"Oil",0.000305
2044,"LNG",0.000397933333333333
2044,"LPG",0.000362883333333333
2044,"MeOH",0.0003958
2044,"NH3",0.000541083333333333
2044,"RefPO",0.000555916666666667
2044,"H2",0.00138973333333333
2045,"Oil",3e-04
2045,"LNG",0.000384666666666667
2045,"LPG",0.000355666666666667
2045,"MeOH",0.000384
2045,"NH3",0.000511666666666667
2045,"RefPO",0.000548333333333333
2045,"H2",0.00127866666666667
2046,"Oil",0.000295
2046,"LNG",0.0003714
2046,"LPG",0.00034845
2046,"MeOH",0.0003722
2046,"NH3",0.00048225
2046,"RefPO",0.00054075
2046,"H2",0.0011676
2047,"Oil",0.00029
2047,"LNG",0.000358133333333333
2047,"LPG",0.000341233333333333
2047,"MeOH",0.0003604
2047,"NH3",0.000452833333333333
2047,"RefPO",0.000533166666666667
2047,"H2",0.00105653333333333
2048,"Oil",0.000285
2048,"LNG",0.000344866666666667
2048,"LPG",0.000334016666666667
2048,"MeOH",0.0003486
2048,"NH3",0.000423416666666667
2048,"RefPO",0.000525583333333333
2048,"H2",0.000945466666666667
2049,"Oil",0.00028
2049,"LNG",0.0003316
2049,"LPG",0.0003268
2049,"MeOH",0.0003368
2049,"NH3",0.000394
2049,"RefPO",0.000518
2049,"H2",0.0008344
2050,"Oil",0.000275
2050,"LNG",0.000318333333333333
2050,"LPG",0.000319583333333333
2050,"MeOH",0.000325
2050,"NH3",0.000364583333333333
2050,"RefPO",0.000510416666666667
2050,"H2",0.000723333333333334
