"year","fuel_type","cost"
2025,"Oil",4e-04
2025,"LNG",0.00065
2025,"LPG",5e-04
2025,"MeOH",0.00062
2025,"NH3",0.0011
2025,"RefPO",7e-04
2025,"H2",0.0035
2026,"Oil",0.000405
2026,"LNG",0.000639533333333333
2026,"LPG",0.000498033333333333
2026,"MeOH",0.000625933333333333
2026,"NH3",0.00108073333333333
2026,"RefPO",0.000701166666666667
2026,"H2",0.00339873333333333
2027,"Oil",0.00041
2027,"LNG",0.000629066666666667
2027,"LPG",0.000496066666666667
2027,"MeOH",0.000631866666666667
2027,"NH3",0.00106146666666667
2027,"RefPO",0.000702333333333333
2027,"H2",0.00329746666666667
2028,"Oil",0.000415
2028,"LNG",0.0006186
2028,"LPG",0.0004941
2028,"MeOH",0.0006378
2028,"NH3",0.0010422
2028,"RefPO",0.0007035
2028,"H2",0.0031962
2029,"Oil",0.00042
2029,"LNG",0.000608133333333333
2029,"LPG",0.000492133333333333
2029,"MeOH",0.000643733333333333
2029,"NH3",0.00102293333333333
2029,"RefPO",0.000704666666666667
2029,"H2",0.00309493333333333
2030,"Oil",0.000425
2030,"LNG",0.000597666666666667
2030,"LPG",0.000490166666666667
2030,"MeOH",0.000649666666666667
2030,"NH3",0.00100366666666667
2030,"RefPO",0.000705833333333333
2030,"H2",0.00299366666666667
2031,"Oil",0.00043
2031,"LNG",0.0005872
2031,"LPG",0.0004882
2031,"MeOH",0.0006556
2031,"NH3",0.0009844
2031,"RefPO",0.000707
2031,"H2",0.0028924
2032,"Oil",0.000435
2032,"LNG",0.000576733333333333
2032,"LPG",0.000486233333333333
2032,"MeOH",0.000661533333333333
2032,"NH3",0.000965133333333333
2032,"RefPO",0.000708166666666667
2032,"H2",0.00279113333333333
2033,"Oil",0.00044
2033,"LNG",0.000566266666666667
2033,"LPG",0.000484266666666667
2033,"MeOH",0.000667466666666667
2033,"NH3",0.000945866666666667
2033,"RefPO",0.000709333333333333
2033,"H2",0.00268986666666667
2034,"Oil",0.000445
2034,"LNG",0.0005558
2034,"LPG",0.0004823
2034,"MeOH",0.0006734
2034,"NH3",0.0009266
2034,"RefPO",0.0007105
2034,"H2",0.0025886
2035,"Oil",0.00045
2035,"LNG",0.000545333333333333
2035,"LPG",0.000480333333333333
2035,"MeOH",0.000679333333333333
2035,"NH3",0.000907333333333333
2035,"RefPO",0.000711666666666667
2035,"H2",0.00248733333333333
2036,"Oil",0.000455
2036,"LNG",0.000534866666666667
