fuel_type,year,cost
Oil,2020,0.0004
LNG,2020,0.00065
LPG,2020,0.0005
MeOH,2020,0.00062
NH3,2020,0.0011
RefPO,2020,0.0007
H2,2020,0.0035
Oil,2021,0.0004
LNG,2021,0.00065
LPG,2021,0.0005
MeOH,2021,0.00062
NH3,2021,0.0011
RefPO,2021,0.0007
H2,2021,0.0035
Oil,2022,0.0004
LNG,2022,0.00065
LPG,2022,0.0005
MeOH,2022,0.00062
NH3,2022,0.0011
RefPO,2022,0.0007
H2,2022,0.0035
Oil,2023,0.0004
LNG,2023,0.00065
LPG,2023,0.0005
MeOH,2023,0.00062
NH3,2023,0.0011
RefPO,2023,0.0007
H2,2023,0.0035
Oil,2024,0.0004
LNG,2024,0.00065
LPG,2024,0.0005
MeOH,2024,0.00062
NH3,2024,0.0011
RefPO,2024,0.0007
H2,2024,0.0035
Oil,2025,0.0004
LNG,2025,0.00065
LPG,2025,0.0005
MeOH,2025,0.00062
NH3,2025,0.0011
RefPO,2025,0.0007
H2,2025,0.0035
Oil,2026,0.0004
LNG,2026,0.00065
LPG,2026,0.0005
MeOH,2026,0.00062
NH3,2026,0.0011
RefPO,2026,0.0007
H2,2026,0.0035
Oil,2027,0.0004
LNG,2027,0.00065
LPG,2027,0.0005
MeOH,2027,0.00062
NH3,2027,0.0011
RefPO,2027,0.0007
H2,2027,0.0035
Oil,2028,0.0004
LNG,2028,0.00065
LPG,2028,0.0005
MeOH,2028,0.00062
NH3,2028,0.0011
RefPO,2028,0.0007
H2,2028,0.0035
Oil,2029,0.0004
LNG,2029,0.00065
LPG,2029,0.0005
MeOH,2029,0.00062
NH3,2029,0.0011
RefPO,2029,0.0007
H2,2029,0.0035
Oil,2030,0.0004
LNG,2030,0.00065
LPG,2030,0.0005
MeOH,2030,0.00062
NH3,2030,0.0011
RefPO,2030,0.0007
H2,2030,0.0035
Oil,2031,0.0004
LNG,2031,0.00065
LPG,2031,0.0005
MeOH,2031,0.00062
NH3,2031,0.0011
RefPO,2031,0.0007
H2,2031,0.0035
Oil,2032,0.0004
LNG,2032,0.00065
LPG,2032,0.0005
MeOH,2032,0.00062
NH3,2032,0.0011
RefPO,2032,0.0007
H2,2032,0.0035
Oil,2033,0.0004
LNG,2033,0.00065
LPG,2033,0.0005
MeOH,2033,0.00062
NH3,2033,0.0011
RefPO,2033,0.0007
H2,2033,0.0035
Oil,2034,0.0004
LNG,2034,0.00065
LPG,2034,0.0005
MeOH,2034,0.00062
NH3,2034,0.0011
RefPO,2034,0.0007
H2,2034,0.0035
Oil,2035,0.0004
LNG,2035,0.00065
LPG,2035,0.0005
MeOH,2035,0.00062
NH3,2035,0.0011
RefPO,2035,0.0007
H2,2035,0.0035
Oil,2036,0.0004
LNG,2036,0.00065
LPG,2036,0.0005
MeOH,2036,0.00062
NH3,2036,0.0011
RefPO,2036,0.0007
H2,2036,0.0035
Oil,2037,0.0004
LNG,2037,0.00065
LPG,2037,0.0005
MeOH,2037,0.00062
NH3,2037,0.0011
RefPO,2037,0.0007
H2,2037,0.0035
Oil,2038,0.0004
LNG,2038,0.00065
LPG,2038,0.0005
MeOH,2038,0.00062
NH3,2038,0.0011
RefPO,2038,0.0007
H2,2038,0.0035
Oil,2039,0.0004
LNG,2039,0.00065
LPG,2039,0.0005
MeOH,2039,0.00062
NH3,2039,0.0011
RefPO,2039,0.0007
H2,2039,0.0035
Oil,2040,0.0004
LNG,2040,0.00065
LPG,2040,0.0005
MeOH,2040,0.00062
NH3,2040,0.0011
RefPO,2040,0.0007
H2,2040,0.0035
Oil,2041,0.0004
LNG,2041,0.00065
LPG,2041,0.0005
MeOH,2041,0.00062
NH3,2041,0.0011
RefPO,2041,0.0007
H2,2041,0.0035
Oil,2042,0.0004
LNG,2042,0.00065
LPG,2042,0.0005
MeOH,2042,0.00062
NH3,2042,0.0011
RefPO,2042,0.0007
H2,2042,0.0035
Oil,2043,0.0004
LNG,2043,0.00065
LPG,2043,0.0005
MeOH,2043,0.00062
NH3,2043,0.0011
RefPO,2043,0.0007
H2,2043,0.0035
Oil,2044,0.0004
LNG,2044,0.00065
LPG,2044,0.0005
MeOH,2044,0.00062
NH3,2044,0.0011
RefPO,2044,0.0007
H2,2044,0.0035
Oil,2045,0.0004
LNG,2045,0.00065
LPG,2045,0.0005
MeOH,2045,0.00062
NH3,2045,0.0011
RefPO,2045,0.0007
H2,2045,0.0035
Oil,2046,0.0004
LNG,2046,0.00065
LPG,2046,0.0005
MeOH,2046,0.00062
NH3,2046,0.0011
RefPO,2046,0.0007
H2,2046,0.0035
Oil,2047,0.0004
LNG,2047,0.00065
LPG,2047,0.0005
MeOH,2047,0.00062
NH3,2047,0.0011
RefPO,2047,0.0007
H2,2047,0.0035
Oil,2048,0.0004
LNG,2048,0.00065
LPG,2048,0.0005
MeOH,2048,0.00062
NH3,2048,0.0011
RefPO,2048,0.0007
H2,2048,0.0035
Oil,2049,0.0004
LNG,2049,0.00065
LPG,2049,0.0005
MeOH,2049,0.00062
NH3,2049,0.0011
RefPO,2049,0.0007
H2,2049,0.0035
Oil,2050,0.0004
LNG,2050,0.00065
LPG,2050,0.0005
MeOH,2050,0.00062
NH3,2050,0.0011
RefPO,2050,0.0007
H2,2050,0.0035
