"","ship_type","fuel_type","year","consumption"
"1","C","Oil",2025,1687.83333333333
"2","C","LNG",2025,0
"3","C","LPG",2025,0
"4","C","MeOH",2025,0
"5","C","NH3",2025,0
"6","C","RefPO",2025,1607.46031746032
"7","C","H2",2025,0
"8","T","Oil",2025,2075.69892473118
"9","T","LNG",2025,0
"10","T","LPG",2025,0
"11","T","MeOH",2025,0
"12","T","NH3",2025,0
"13","T","RefPO",2025,1853.30261136713
"14","T","H2",2025,0
"15","B","Oil",2025,2335.37142857143
"16","B","LNG",2025,0
"17","B","LPG",2025,0
"18","B","MeOH",2025,0
"19","B","NH3",2025,0
"20","B","RefPO",2025,2100.59863945578
"21","B","H2",2025,0
"22","G","Oil",2025,1945.86206896552
"23","G","LNG",2025,0
"24","G","LPG",2025,0
"25","G","MeOH",2025,0
"26","G","NH3",2025,0
"27","G","RefPO",2025,1729.65517241379
"28","G","H2",2025,0
"29","O","Oil",2025,1041.48148148148
"30","O","LNG",2025,0
"31","O","LPG",2025,0
"32","O","MeOH",2025,0
"33","O","NH3",2025,0
"34","O","RefPO",2025,1239.85890652557
"35","O","H2",2025,0
"36","C","Oil",2026,1670.955
"37","C","LNG",2026,0
"38","C","LPG",2026,0
"39","C","MeOH",2026,0
"40","C","NH3",2026,0
"41","C","RefPO",2026,1591.38571428571
"42","C","H2",2026,0
"43","T","Oil",2026,2054.94193548387
"44","T","LNG",2026,0
"45","T","LPG",2026,0
"46","T","MeOH",2026,0
"47","T","NH3",2026,0
"48","T","RefPO",2026,1834.76958525346
"49","T","H2",2026,0
"50","B","Oil",2026,2312.01771428571
"51","B","LNG",2026,0
"52","B","LPG",2026,0
"53","B","MeOH",2026,0
"54","B","NH3",2026,0
"55","B","RefPO",2026,2079.59265306122
"56","B","H2",2026,0
"57","G","Oil",2026,1926.40344827586
"58","G","LNG",2026,0
"59","G","LPG",2026,0
"60","G","MeOH",2026,0
"61","G","NH3",2026,0
"62","G","RefPO",2026,1712.35862068966
"63","G","H2",2026,0
"64","O","Oil",2026,1031.06666666667
"65","O","LNG",2026,0
"66","O","LPG",2026,0
"67","O","MeOH",2026,0
"68","O","NH3",2026,0
"69","O","RefPO",2026,1227.46031746032
"70","O","H2",2026,0
"71","C","Oil",2027,1654.07666666667
"72","C","LNG",2027,0
"73","C","LPG",2027,0
"74","C","MeOH",2027,0
"75","C","NH3",2027,0
"76","C","RefPO",2027,1575.31111111111
"77","C","H2",2027,0
"78","T","Oil",2027,2034.18494623656
"79","T","LNG",2027,0
"80","T","LPG",2027,0
"81","T","MeOH",2027,0
"82","T","NH3",2027,0
"83","T","RefPO",2027,1816.23655913978
"84","T","H2",2027,0
"85","B","Oil",2027,2288.664
"86","B","LNG",2027,0
"87","B","LPG",2027,0
"88","B","MeOH",2027,0
"89","B","NH3",2027,0
"90","B","RefPO",2027,2058.58666666667
"91","B","H2",2027,0
"92","G","Oil",2027,1906.94482758621
"93","G","LNG",2027,0
"94","G","LPG",2027,0
"95","G","MeOH",2027,0
"96","G","NH3",2027,0
"97","G","RefPO",2027,1695.06206896552
"98","G","H2",2027,0
"99","O","Oil",2027,1020.65185185185
"100","O","LNG",2027,0
"101","O","LPG",2027,0
"102","O","MeOH",2027,0
"103","O","NH3",2027,0
"104","O","RefPO",2027,1215.06172839506
"105","O","H2",2027,0
"106","C","Oil",2028,1637.19833333333
"107","C","LNG",2028,0
"108","C","LPG",2028,0
"109","C","MeOH",2028,0
"110","C","NH3",2028,0
"111","C","RefPO",2028,1559.23650793651
"112","C","H2",2028,0
"113","T","Oil",2028,2013.42795698925
"114","T","LNG",2028,0
"115","T","LPG",2028,0
"116","T","MeOH",2028,0
"117","T","NH3",2028,0
"118","T","RefPO",2028,1797.70353302611
"119","T","H2",2028,0
"120","B","Oil",2028,2265.31028571429
"121","B","LNG",2028,0
"122","B","LPG",2028,0
"123","B","MeOH",2028,0
"124","B","NH3",2028,0
"125","B","RefPO",2028,2037.58068027211
"126","B","H2",2028,0
"127","G","Oil",2028,1887.48620689655
"128","G","LNG",2028,0
"129","G","LPG",2028,0
"130","G","MeOH",2028,0
"131","G","NH3",2028,0
"132","G","RefPO",2028,1677.76551724138
"133","G","H2",2028,0
"134","O","Oil",2028,1010.23703703704
